xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.045973166  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.071987433  0.250000000  0.127678276  0.003720969  0.003680609  0.000000421  0.004565812  0.002567324  0.000000151  0.000000000  0.003284870  0.000000000 
 0.098293534  0.375000000  0.255416332  0.009134890  0.008991173  0.000003614  0.008770643  0.006968273  0.000002170  0.000000000  0.008098107  0.000000000 
 0.123607642  0.500000000  0.382953793  0.016243717  0.015962750  0.000015123  0.009120305  0.014178002  0.000014881  0.000000000  0.014563553  0.000000000 
 0.125000000  0.508232533  0.391303239  0.016771536  0.016484519  0.000016433  0.009120305  0.014770328  0.000016248  0.000000000  0.015093032  0.000000000 
 0.151635824  0.625000000  0.511070132  0.025641708  0.025793903  0.000041288  0.036939410  0.028442089  0.000100372  0.000000000  0.025260309 15.076224746 
 0.178103268  0.750000000  0.638841512  0.037070695  0.038332529  0.000089965  0.062692510  0.044318754  0.000255564  0.000000000  0.037387396 13.465312080 
 0.204574758  0.875000000  0.766613731  0.049916471  0.052601209  0.000177183  0.081909740  0.063315523  0.000503632  0.000000000  0.051214573 11.961502774 
 0.232682064  1.000000000  0.894734848  0.064307539  0.068781546  0.000315919  0.090050395  0.085992175  0.000905787  0.000000000  0.066894862 10.532241000 
 0.250000000  1.072451308  0.969227149  0.073430772  0.079137830  0.000427615  0.090050395  0.101243249  0.001217602  0.000000000  0.077170802  9.622778572 
 0.264895760  1.125000000  1.023846273  0.080681559  0.087338025  0.000518115  0.138846515  0.114516193  0.001531585  0.000000000  0.090002909  7.380656339 
 0.301234299  1.250000000  1.154021114  0.099536758  0.108463050  0.000786329  0.172797590  0.145597231  0.002461340  0.000000000  0.110870916  6.593252694 
 0.342364147  1.375000000  1.285613912  0.120292924  0.131721972  0.001179037  0.187891476  0.179614052  0.003766245  0.000000000  0.133886918  5.807609298 
 0.375000000  1.461068620  1.377662303  0.136005605  0.149440651  0.001537318  0.187891476  0.205860446  0.004982003  0.000000000  0.151659768  5.265584117 
 0.392128560  1.500000000  1.420195113  0.143706942  0.158117425  0.001719027  0.233010176  0.218970993  0.005644559  0.000000000  0.163094094  4.742542136 
 0.452191081  1.625000000  1.558876425  0.170467652  0.187862229  0.002426023  0.252459656  0.262397238  0.008226375  0.000000000  0.193196673  4.130889345 
 0.500000000  1.708628002  1.655205733  0.190347523  0.209976569  0.003056324  0.252459656  0.296846573  0.010798943  0.000000000  0.215979325  3.850841227 
 0.527917584  1.750000000  1.705115989  0.201139712  0.221988380  0.003420839  0.287739888  0.315838043  0.012386150  0.000000000  0.230630282  3.635408852 
 0.625000000  1.874195825  1.862753544  0.236724939  0.261105005  0.004798539  0.287739888  0.379250297  0.018746092  0.000000000  0.271442006  3.285238189 
