xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.046576053  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.072665532  0.250000000  0.127693621  0.003701061  0.003661484  0.000000411  0.004503769  0.002556812  0.000000151  0.000000000  0.003274919  0.000000000 
 0.098858680  0.375000000  0.255408464  0.009068621  0.008928640  0.000003518  0.008622073  0.006927122  0.000002151  0.000000000  0.008053324  0.000000000 
 0.123926286  0.500000000  0.382897228  0.016094227  0.015822690  0.000014649  0.008891914  0.014075991  0.000014629  0.000000000  0.014450351  0.000000000 
 0.125000000  0.506420763  0.389407148  0.016499952  0.016223951  0.000015628  0.008891914  0.014508486  0.000015651  0.000000000  0.014857768  0.000000000 
 0.151741086  0.625000000  0.510964217  0.025376943  0.025533607  0.000039658  0.036720924  0.027628988  0.000099146  0.000000000  0.025043408 15.118593071 
 0.177912024  0.750000000  0.638674506  0.036638496  0.037865911  0.000085941  0.062505861  0.043338496  0.000250984  0.000000000  0.036975946 13.522453624 
 0.204086055  0.875000000  0.766385430  0.049265876  0.051858959  0.000168353  0.081826457  0.062069951  0.000490757  0.000000000  0.050536969 12.028407260 
 0.231934803  1.000000000  0.894450072  0.063387868  0.067691350  0.000298720  0.090230612  0.084335681  0.000875559  0.000000000  0.065875971 10.603575174 
 0.250000000  1.075727478  0.972302512  0.072752322  0.078285004  0.000408618  0.090230612  0.099948140  0.001187864  0.000000000  0.076366867  9.662549449 
 0.263947108  1.125000000  1.023510941  0.079429315  0.085811395  0.000488068  0.138832105  0.112105823  0.001466832  0.000000000  0.088130857  7.427424290 
 0.300212958  1.250000000  1.153665510  0.097911819  0.106452985  0.000736903  0.172678356  0.142434723  0.002336426  0.000000000  0.108523083  6.641123538 
 0.341298768  1.375000000  1.285244550  0.118230471  0.129137627  0.001100834  0.187942111  0.175471908  0.003547841  0.000000000  0.130963220  5.853986949 
 0.375000000  1.463518605  1.379961584  0.134065748  0.146918793  0.001443024  0.187942111  0.201673132  0.004712617  0.000000000  0.148769777  5.298510364 
