xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.026712114  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.048740802  0.126926211  0.004675696  0.004607659  0.000000929  0.000000000  0.005350546  0.000001435  0.000000000  0.003737803  0.000000000 
 0.375000000  0.077226452  0.255130861  0.012450889  0.012158020  0.000008574  0.000000000  0.015062312  0.000014313  0.000000000  0.010338621  0.012155048 
 0.500000000  0.110238228  0.384416504  0.024029705  0.023331646  0.000039756  0.000000000  0.030532475  0.000065225  0.000000000  0.020470130  0.023323957 
 0.560912008  0.125000000  0.447091719  0.031172263  0.030290259  0.000075059  0.008798299  0.040111107  0.000118062  0.000000000  0.027337122  0.030272322 
 0.625000000  0.147199619  0.514915711  0.040401454  0.040010670  0.000130748  0.008798299  0.051615940  0.000186517  0.000000000  0.037653833  0.039996876 
 0.750000000  0.185338099  0.645604439  0.062250431  0.064337944  0.000324175  0.008798299  0.080402704  0.000401871  0.000000000  0.061154342  0.064317448 
 0.875000000  0.223176208  0.776205826  0.088812677  0.094234437  0.000717454  0.008798299  0.118430907  0.000870622  0.000000000  0.090419203  0.094206889 
 0.968490690  0.250000000  0.873468486  0.111776353  0.120520368  0.001200714  0.017250176  0.152496203  0.001495101  0.000000000  0.116710690  0.120504952 
 1.000000000  0.261111786  0.906879688  0.120505070  0.130526077  0.001398374  0.017250176  0.163739802  0.001739447  0.000000000  0.131579908  0.130490740 
 1.125000000  0.300455117  1.037925091  0.158737835  0.173901254  0.002414584  0.017250176  0.214680118  0.003009260  0.000000000  0.174632607  0.173858884 
 1.250000000  0.340544126  1.169196293  0.202203013  0.223252390  0.004021863  0.017250176  0.281340224  0.005277478  0.000000000  0.224113715  0.223205321 
 1.355073600  0.375000000  1.279775083  0.242829018  0.269826665  0.005937075  0.025453354  0.345150003  0.008265604  0.000000000  0.271322734  0.269824561 
 1.375000000  0.382553812  1.301085210  0.251205707  0.279461429  0.006345047  0.025453354  0.355687816  0.008911226  0.000000000  0.285592848  0.279409937 
 1.500000000  0.429900672  1.434751679  0.307799676  0.343904874  0.009361371  0.025453354  0.429259507  0.013901207  0.000000000  0.350868359  0.343851222 
 1.625000000  0.484236903  1.571050711  0.371107046  0.415665768  0.013731132  0.025453354  0.529334718  0.021665552  0.000000000  0.424630877  0.415613271 
 1.657991973  0.500000000  1.607614977  0.389034621  0.436342775  0.015144246  0.078385091  0.556674083  0.024249851  0.000000000  0.446537247  0.436327874 
 1.750000000  0.550126316  1.712391522  0.442627018  0.497997875  0.019608039  0.078385091  0.636419384  0.032414936  0.000000000  0.528863004  0.497946513 
 1.861981141  0.625000000  1.847098034  0.515086825  0.579967888  0.026663246  0.087369988  0.746685125  0.045510507  0.000000000  0.615785644  0.579929228 
 1.875000000  0.634716317  1.863342957  0.523980253  0.590100817  0.027592399  0.087369988  0.759217431  0.047222548  0.000000000  0.627843042  0.590051228 
 1.937500000  0.687500000  1.945149847  0.568619748  0.641097571  0.032394080  0.135322327  0.821407068  0.055971288  0.000000000  0.683916569  0.641045752 

 0.050490838  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.076350541  0.250000000  0.127646873  0.003524720  0.003493630  0.000000330  0.004205709  0.002466063  0.000000154  0.000000000  0.003174439  0.000000000 
