xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.040797115  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.065970190  0.250000000  0.127509544  0.003900475  0.003853623  0.000000515  0.005141099  0.002661116  0.000000145  0.000000000  0.003372196  0.000000000 
 0.093072882  0.375000000  0.255414023  0.009741051  0.009564497  0.000004529  0.010168200  0.007351446  0.000002383  0.000000000  0.008502812  1.043904114 
 0.120476728  0.500000000  0.383382655  0.017632358  0.017263753  0.000019647  0.011302885  0.015176197  0.000017682  0.000000000  0.015606522  0.000000000 
 0.125000000  0.524235520  0.408036670  0.019402852  0.019006421  0.000025174  0.011302885  0.017339219  0.000023565  0.000000000  0.017364455  0.000000000 
 0.150441817  0.625000000  0.511963406  0.028141637  0.028225659  0.000057201  0.039295711  0.031762391  0.000114951  0.000000000  0.027283865 13.892578125 
 0.179613268  0.750000000  0.640322175  0.041197593  0.042747868  0.000130023  0.064985723  0.049415255  0.000308557  0.000000000  0.041290446  0.000000000 
 0.208832551  0.875000000  0.768691822  0.056190552  0.059695243  0.000267097  0.083340875  0.071231676  0.000650942  0.000000000  0.057722281  0.239320795 
 0.239320795  1.000000000  0.897356243  0.073246591  0.079286642  0.000494686  0.088867935  0.098198718  0.001250885  0.000000000  0.076772805  1.000000000 
 0.250000000  1.043904114  0.942540494  0.079754773  0.086876351  0.000603440  0.088867935  0.109558080  0.001525403  0.000000000  0.084435459  0.000000000 
 0.273343293  1.125000000  1.026929191  0.092940371  0.102183867  0.000836975  0.139405177  0.135201073  0.002294481  0.000000000  0.108679995  0.000000000 
 0.310526850  1.250000000  1.157342446  0.115551900  0.128145600  0.001319769  0.173993265  0.173992881  0.003934543  0.000000000  0.134348858  5.487972260 
 0.352072298  1.375000000  1.289065732  0.140706067  0.157142122  0.002034424  0.186823666  0.218137850  0.006348853  0.000000000  0.163159121  0.000000000 
