xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.028385354  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.051125993  0.127051709  0.004588228  0.004518873  0.000000891  0.000000000  0.005262774  0.000001434  0.000000000  0.003702656  0.000000000 
 0.375000000  0.079817748  0.255302310  0.012124305  0.011826483  0.000008304  0.000000000  0.014727120  0.000014523  0.000000000  0.010133075  0.000000000 
 0.500000000  0.112321752  0.384459231  0.023203784  0.022492179  0.000038969  0.000000000  0.029673144  0.000067228  0.000000000  0.019871326  1.664690835 
 0.554238852  0.125000000  0.440160138  0.029194512  0.028317851  0.000069403  0.009088697  0.037792193  0.000115005  0.000000000  0.025673260  0.500000000 
 0.625000000  0.148496497  0.514720352  0.038759877  0.038458633  0.000130185  0.009088697  0.049860818  0.000194784  0.000000000  0.036429649  0.000000000 
 0.750000000  0.185346037  0.645038764  0.059305438  0.061706233  0.000328836  0.009088697  0.077248270  0.000433757  0.000000000  0.058984928  0.000000000 
 0.875000000  0.221782999  0.775241115  0.084040702  0.090228055  0.000738604  0.009088697  0.113117544  0.000938761  0.000000000  0.086996933  0.000000000 
 0.975548246  0.250000000  0.879673624  0.107000347  0.117303805  0.001298229  0.015161320  0.147802698  0.001651752  0.000000000  0.114053421  0.000000000 
 1.000000000  0.258419176  0.905534227  0.113281627  0.124726652  0.001466692  0.015161320  0.155688272  0.001854567  0.000000000  0.124888557  1.625000000 
 1.125000000  0.296859286  1.036311297  0.148533498  0.166096976  0.002592771  0.015161320  0.201069454  0.003171390  0.000000000  0.166041366  0.480627120 
 1.250000000  0.336316761  1.167391015  0.188382653  0.213229643  0.004406508  0.015161320  0.262438561  0.005393587  0.000000000  0.213328991  0.000000000 
 1.366967516  0.375000000  1.290589200  0.229975562  0.263068497  0.006895974  0.018199395  0.328829289  0.008586104  0.000000000  0.263594116  0.000000000 
 1.375000000  0.378073743  1.299189705  0.233080027  0.266800004  0.007093018  0.018199395  0.331544286  0.008831585  0.000000000  0.268999966  0.000000000 
 1.500000000  0.425698832  1.432954981  0.284789085  0.328463473  0.010726789  0.018199395  0.379060994  0.013300075  0.000000000  0.331348920  0.000000000 
 1.625000000  0.480627120  1.569491119  0.342542830  0.397259905  0.016000978  0.018199395  0.471080002  0.020038682  0.000000000  0.401794098  1.500000000 
 1.664690835  0.500000000  1.613657518  0.362292933  0.421185833  0.018075953  0.063257617  0.502016137  0.022746162  0.000000000  0.426952404  0.425698832 
 1.750000000  0.547635472  1.711365204  0.407896814  0.476206858  0.023202384  0.063257617  0.571377360  0.029208352  0.000000000  0.500314931  0.000000000 
 1.863629769  0.625000000  1.848831544  0.475324632  0.556174100  0.032007148  0.070473448  0.676327567  0.040205959  0.000000000  0.584386491  0.000000000 
 1.875000000  0.633732368  1.863168085  0.482500007  0.564709155  0.033009812  0.070473448  0.687168456  0.041420628  0.000000000  0.594635190  0.000000000 
