xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.028189917  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.050850009  0.127037316  0.004598224  0.004528776  0.000000898  0.000000000  0.005274077  0.000001439  0.000000000  0.003706706  0.000000000 
 0.375000000  0.079521428  0.255283370  0.012161422  0.011862655  0.000008366  0.000000000  0.014772462  0.000014580  0.000000000  0.010156505  0.008669955 
 0.500000000  0.112086985  0.384455796  0.023297140  0.022581991  0.000039268  0.000000000  0.029793718  0.000067528  0.000000000  0.019939157  0.015231102 
 0.555012708  0.125000000  0.440963707  0.029415030  0.028530699  0.000070484  0.009057936  0.038086071  0.000116387  0.000000000  0.025859377  0.015329637 
 0.625000000  0.148352841  0.514744302  0.038944346  0.038630281  0.000131257  0.009057936  0.050110759  0.000195889  0.000000000  0.036568110  0.024471339 
 0.750000000  0.185350168  0.645104580  0.059635002  0.062029638  0.000331633  0.009057936  0.077700802  0.000436200  0.000000000  0.059268254  0.034783294 
 0.875000000  0.221946429  0.775351600  0.084572653  0.090760732  0.000745318  0.009057936  0.113876019  0.000945420  0.000000000  0.087487681  0.046232104 
 0.974711647  0.250000000  0.878934492  0.107531802  0.117810587  0.001304892  0.015393794  0.148554451  0.001658566  0.000000000  0.114533121  0.058960210 
 1.000000000  0.258730890  0.905687608  0.114084088  0.125546432  0.001480624  0.015393794  0.156843089  0.001870238  0.000000000  0.125831635  0.069189506 
 1.125000000  0.297271242  1.036494178  0.149663479  0.167255262  0.002618195  0.015393794  0.203027614  0.003204211  0.000000000  0.167324164  0.073452267 
 1.250000000  0.336799621  1.167595257  0.189909415  0.214795190  0.004450704  0.015393794  0.265099746  0.005462771  0.000000000  0.215028969  0.090067724 
 1.365616429  0.375000000  1.289359075  0.231416824  0.264465950  0.006932189  0.018977410  0.331378412  0.008669955  0.000000000  0.265161061  0.108295775 
 1.375000000  0.378586854  1.299404817  0.235078369  0.268861259  0.007164253  0.018977410  0.334957394  0.008961794  0.000000000  0.271542262  0.124206555 
 1.500000000  0.426177510  1.433157838  0.287321271  0.331072902  0.010833498  0.018977410  0.388130239  0.013530430  0.000000000  0.334456737  0.128896515 
 1.625000000  0.481038911  1.569667081  0.345682860  0.400491464  0.016160538  0.018977410  0.481254697  0.020430707  0.000000000  0.405560981  0.152483867 
 1.663941049  0.500000000  1.612979067  0.365255379  0.424170480  0.018214996  0.064876722  0.511912596  0.023148170  0.000000000  0.430472693  0.171241125 
 1.750000000  0.547919573  1.711479974  0.411712039  0.480147920  0.023431151  0.064876722  0.582630064  0.029824046  0.000000000  0.505189430  0.179624408 
 1.863445087  0.625000000  1.848633828  0.479698069  0.560670248  0.032302944  0.072280221  0.688518659  0.041089023  0.000000000  0.589885841  0.211600194 
 1.875000000  0.633845367  1.863185685  0.487056102  0.569412449  0.033330430  0.072280221  0.699629451  0.042356184  0.000000000  0.600383820  0.211734156 
 1.937500000  0.687500000  1.945557219  0.528675627  0.618785846  0.039281870  0.117077830  0.761361671  0.049520884  0.000000000  0.654216424  0.230407310 

 0.049752315  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.075738209  0.250000000  0.127672498  0.003562748  0.003529279  0.000000351  0.004249814  0.002485571  0.000000155  0.000000000  0.003197219  0.000000000 
