xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.046435628  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.072508008  0.250000000  0.127690129  0.003705681  0.003665920  0.000000414  0.004518135  0.002559254  0.000000151  0.000000000  0.003277233  0.000000000 
 0.098727813  0.375000000  0.255410441  0.009083983  0.008943128  0.000003540  0.008656436  0.006936646  0.000002155  0.000000000  0.008063716  0.000000000 
 0.123852865  0.500000000  0.382910513  0.016128841  0.015855106  0.000014759  0.008944676  0.014099500  0.000014687  0.000000000  0.014476579  0.000000000 
 0.125000000  0.506841774  0.389847788  0.016562628  0.016284075  0.000015813  0.008944676  0.014568837  0.000015787  0.000000000  0.014912074  0.000000000 
 0.151717142  0.625000000  0.510988913  0.025438171  0.025593867  0.000040037  0.036770843  0.027847016  0.000099424  0.000000000  0.025093613 15.118593071 
 0.177956819  0.750000000  0.638713306  0.036738360  0.037973909  0.000086875  0.062547932  0.043594808  0.000252027  0.000000000  0.037071156 13.522453624 
 0.204199753  0.875000000  0.766438368  0.049416091  0.052030703  0.000170399  0.081844385  0.062387015  0.000493693  0.000000000  0.050693710 12.028407260 
 0.232108414  1.000000000  0.894516053  0.063600085  0.067943533  0.000302701  0.090187818  0.084747033  0.000882459  0.000000000  0.066111580 10.603575174 
 0.250000000  1.074965126  0.971586663  0.072909359  0.078483407  0.000413064  0.090187818  0.100276760  0.001194714  0.000000000  0.076553981  9.662549449 
 0.264167534  1.125000000  1.023588660  0.079718133  0.086164386  0.000495015  0.138834447  0.112689697  0.001481591  0.000000000  0.088562740  7.427424290 
 0.300449837  1.250000000  1.153747814  0.098286398  0.106917576  0.000748320  0.172705532  0.143191983  0.002364913  0.000000000  0.109064735  6.641123538 
 0.341545812  1.375000000  1.285330029  0.118705753  0.129734849  0.001118884  0.187931121  0.176454814  0.003597674  0.000000000  0.131637799  5.853986949 
 0.375000000  1.462952126  1.379429759  0.134514002  0.147503722  0.001464918  0.187931121  0.202669992  0.004774542  0.000000000  0.149438769  5.298510364 
 0.391357440  1.500000000  1.419928040  0.141730228  0.155608641  0.001628023  0.232609279  0.214841104  0.005368384  0.000000000  0.160081099  4.786179727 
 0.451539402  1.625000000  1.558661124  0.168049089  0.184773709  0.002292386  0.251960096  0.257125387  0.007780510  0.000000000  0.189597312  4.168496580 
 0.500000000  1.709479767  1.656053427  0.187808324  0.206678552  0.002891497  0.251960096  0.291045277  0.010221515  0.000000000  0.212148867  3.883388086 
 0.527462630  1.750000000  1.705003251  0.198214907  0.218222759  0.003227485  0.286758001  0.309167772  0.011678797  0.000000000  0.226195936  3.672945716 
 0.625000000  1.874410462  1.863090258  0.233297907  0.256662138  0.004525850  0.286758001  0.370935494  0.017632960  0.000000000  0.266301400  3.316541346 
 0.625560992  1.875000000  1.863904056  0.233484966  0.256867948  0.004533376  0.326383413  0.371280752  0.017670074  0.000000000  0.266539283  3.431472768 
 0.687500000  1.937500000  1.951896616  0.254120059  0.279614550  0.005384484  0.345866671  0.408948769  0.021855234  0.000000000  0.291715784  3.168789891 

 0.125000000  0.032507192  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.056599744  0.127300633  0.004364198  0.004299905  0.000000754  0.000000000  0.004995671  0.000001284  0.000000000  0.003604673  0.000000000 
 0.375000000  0.085306448  0.255554579  0.011317014  0.011052830  0.000006934  0.000000000  0.013683120  0.000012742  0.000000000  0.009602992  0.000003564 
 0.500000000  0.116312596  0.384342705  0.021237803  0.020634852  0.000032011  0.000000000  0.026974458  0.000057438  0.000000000  0.018405447  0.000014875 
 0.540350819  0.125000000  0.425618116  0.025103382  0.024408204  0.000049190  0.009292766  0.032159004  0.000085455  0.000000000  0.022199558  0.000016008 
 0.625000000  0.150482050  0.514019579  0.034935471  0.034857310  0.000103745  0.009292766  0.044392962  0.000159938  0.000000000  0.033354473  0.000040434 
 0.750000000  0.184433118  0.643548244  0.052599978  0.054882625  0.000256229  0.009292766  0.067502806  0.000347807  0.000000000  0.052764460  0.000087855 
