xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.026595513  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.048572654  0.126917275  0.004681953  0.004614192  0.000000929  0.000000000  0.005355863  0.000001431  0.000000000  0.003740292  0.000000000 
 0.375000000  0.077041116  0.255118107  0.012474408  0.012183057  0.000008569  0.000000000  0.015080916  0.000014235  0.000000000  0.010353371  0.012180422 
 0.500000000  0.110086505  0.384412336  0.024089580  0.023396535  0.000039644  0.000000000  0.030576621  0.000064658  0.000000000  0.020513424  0.023389693 
 0.561381636  0.125000000  0.447579714  0.031318082  0.030441588  0.000075081  0.008775556  0.040253451  0.000117389  0.000000000  0.027459324  0.030425638 
 0.625000000  0.147103194  0.514928414  0.040521296  0.040126858  0.000129966  0.008775556  0.051702586  0.000184254  0.000000000  0.037742476  0.040114628 
 0.750000000  0.185333440  0.645643951  0.062466508  0.064508505  0.000321087  0.008775556  0.080554615  0.000394540  0.000000000  0.061280261  0.064490737 
 0.875000000  0.223272308  0.776274567  0.089164430  0.094460661  0.000708268  0.008775556  0.118688644  0.000853605  0.000000000  0.090581138  0.094437366 
 0.968009552  0.250000000  0.873048253  0.112129565  0.120641076  0.001179172  0.017403974  0.152661187  0.001463642  0.000000000  0.116758597  0.120629185 
 1.000000000  0.261300947  0.906976120  0.121039734  0.130811888  0.001374864  0.017403974  0.164124288  0.001706752  0.000000000  0.131910349  0.130782856 
 1.125000000  0.300711042  1.038041583  0.159496080  0.174238274  0.002362118  0.017403974  0.215340542  0.002953827  0.000000000  0.174994254  0.174204567 
 1.250000000  0.340846039  1.169326837  0.203232872  0.223617757  0.003917009  0.017403974  0.282294068  0.005198416  0.000000000  0.224489868  0.223582065 
 1.354218463  0.375000000  1.278998990  0.243770602  0.269803068  0.005745288  0.026011258  0.345779811  0.008142404  0.000000000  0.271314993  0.269809223 
 1.375000000  0.382872789  1.301221795  0.252559704  0.279849708  0.006152510  0.026011258  0.356887146  0.008812623  0.000000000  0.286223787  0.279812881 
 1.500000000  0.430201728  1.434881918  0.309522519  0.344294248  0.009028881  0.026011258  0.431335048  0.013805548  0.000000000  0.351509053  0.344258827 
 1.625000000  0.484495013  1.571163835  0.373248413  0.416024634  0.013192145  0.026011258  0.531820942  0.021604578  0.000000000  0.425268374  0.415994272 
 1.657501897  0.500000000  1.607174638  0.391021635  0.436379965  0.014516517  0.079552323  0.558805762  0.024161795  0.000000000  0.446852028  0.436383901 
 1.750000000  0.550304484  1.712466804  0.445232876  0.498323691  0.018773694  0.079552323  0.639130843  0.032428528  0.000000000  0.529507816  0.498298898 
 1.861860631  0.625000000  1.846974130  0.518066219  0.580164241  0.025464841  0.088675154  0.749499750  0.045650052  0.000000000  0.616383399  0.580155073 
 1.875000000  0.634786102  1.863357378  0.527093281  0.590386368  0.026355316  0.088675154  0.762087639  0.047401036  0.000000000  0.628527281  0.590368067 
