xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.028025897  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.050617865  0.127025183  0.004606656  0.004537154  0.000000903  0.000000000  0.005283501  0.000001443  0.000000000  0.003710116  0.000000000 
 0.375000000  0.079271478  0.255267256  0.012192777  0.011893345  0.000008416  0.000000000  0.014810135  0.000014621  0.000000000  0.010176283  0.011878435 
 0.500000000  0.111888264  0.384452607  0.023376105  0.022658394  0.000039504  0.000000000  0.029893696  0.000067737  0.000000000  0.019996503  0.022621253 
 0.555663226  0.125000000  0.441639252  0.029602150  0.028711890  0.000071368  0.009031517  0.038332521  0.000117477  0.000000000  0.026017187  0.028623786 
 0.625000000  0.148230754  0.514764187  0.039100596  0.038775835  0.000132082  0.009031517  0.050317993  0.000196652  0.000000000  0.036685215  0.038705116 
 0.750000000  0.185352677  0.645159882  0.059914424  0.062301251  0.000333729  0.009031517  0.078076083  0.000437763  0.000000000  0.059504915  0.062169519 
 0.875000000  0.222083511  0.775444778  0.085024079  0.091205207  0.000750269  0.009031517  0.114505740  0.000949882  0.000000000  0.087894723  0.090989898 
 0.974011791  0.250000000  0.878316859  0.107982943  0.118227647  0.001309059  0.015591209  0.149173089  0.001662286  0.000000000  0.114924252  0.118026143 
 1.000000000  0.258993116  0.905817098  0.114765620  0.126227414  0.001490696  0.015591209  0.157802167  0.001881202  0.000000000  0.126615409  0.125897816 
 1.125000000  0.297618652  1.036648791  0.150623891  0.168214198  0.002636121  0.015591209  0.204643990  0.003227998  0.000000000  0.168385990  0.167750367 
 1.250000000  0.337207124  1.167768001  0.191207787  0.216086825  0.004481240  0.015591209  0.267305185  0.005515134  0.000000000  0.216431024  0.215462487 
 1.364474736  0.375000000  1.288319926  0.232638177  0.265594514  0.006950857  0.019643809  0.333469009  0.008731292  0.000000000  0.266428608  0.265051382 
 1.375000000  0.379019586  1.299586614  0.236778560  0.270557533  0.007212390  0.019643809  0.337789228  0.009063216  0.000000000  0.273647354  0.269738007 
 1.500000000  0.426581732  1.433329493  0.289476578  0.333215456  0.010903521  0.019643809  0.394792040  0.013714464  0.000000000  0.337022983  0.332180772 
 1.625000000  0.481386553  1.569816007  0.348356192  0.403138637  0.016263333  0.019643809  0.488840930  0.020749724  0.000000000  0.408663654  0.401860851 
 1.663305221  0.500000000  1.612404155  0.367772963  0.426594183  0.018295183  0.066264092  0.519246872  0.023472998  0.000000000  0.433351806  0.425426379 
 1.750000000  0.548159420  1.711577309  0.414960716  0.483370619  0.023575594  0.066264092  0.591107428  0.030331160  0.000000000  0.509197214  0.481815562 
 1.863288508  0.625000000  1.848466902  0.483420956  0.564335930  0.032483221  0.073828727  0.697764199  0.041822687  0.000000000  0.594398167  0.562568186 
 1.875000000  0.633940610  1.863200997  0.490935743  0.573252811  0.033529536  0.073828727  0.709099176  0.043135446  0.000000000  0.605105427  0.571400249 
 1.937500000  0.687500000  1.945510524  0.532872991  0.622946458  0.039509840  0.118958627  0.771246910  0.050465918  0.000000000  0.659302358  0.620939511 

 0.049834171  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.075806457  0.250000000  0.127669729  0.003558505  0.003525244  0.000000349  0.004244856  0.002483416  0.000000155  0.000000000  0.003194687  0.000000000 
 0.101021530  0.375000000  0.255187570  0.008613581  0.008499670  0.000002911  0.008019322  0.006656670  0.000002011  0.000000000  0.007722568 21.937109535 
 0.124736759  0.500000000  0.382417331  0.015117321  0.014903431  0.000011727  0.008084686  0.013417034  0.000012973  0.000000000  0.013672658 17.618609187 
 0.125000000  0.501657317  0.384095425  0.015213241  0.014998519  0.000011920  0.008084686  0.013429661  0.000013183  0.000000000  0.013769162 17.332829187 
 0.151234974  0.625000000  0.510197332  0.023630593  0.023769832  0.000029892  0.035561905  0.016911945  0.000086718  0.000000000  0.023422474 13.162994680 
 0.176078605  0.750000000  0.637642246  0.033853947  0.034816820  0.000061947  0.060964062  0.031482137  0.000214692  0.000000000  0.034117264 11.809638984 
 0.201129499  0.875000000  0.765127725  0.045222630  0.047214807  0.000117698  0.080276224  0.048521639  0.000404149  0.000000000  0.046123278 10.647061608 
 0.228117161  1.000000000  0.893007879  0.057873174  0.061142621  0.000204062  0.089631947  0.068341392  0.000692384  0.000000000  0.059592220  9.596373816 
 0.250000000  1.091845437  0.987424207  0.068106378  0.072489788  0.000293614  0.089631947  0.085036590  0.000977025  0.000000000  0.070725251  8.861256851 
 0.259372341  1.125000000  1.021878029  0.072150061  0.076959174  0.000328135  0.135508266  0.092185684  0.001111518  0.000000000  0.077652676  8.183343167 
 0.295520315  1.250000000  1.151999803  0.088650281  0.095027319  0.000480738  0.167677314  0.118617838  0.001700739  0.000000000  0.095482356  7.588527970 
 0.336661265  1.375000000  1.283596071  0.106760652  0.114818184  0.000706845  0.183052242  0.146876157  0.002492904  0.000000000  0.115026273  6.951606642 
 0.375000000  1.473851570  1.389621970  0.122619945  0.132224190  0.000948741  0.183052242  0.171781000  0.003345751  0.000000000  0.132350726  6.422222403 
 0.386795481  1.500000000  1.418307747  0.127169224  0.137216034  0.001018904  0.223880562  0.179014152  0.003609410  0.000000000  0.138783237  6.176704103 
 0.447796714  1.625000000  1.557398187  0.150544073  0.162526159  0.001414494  0.242100921  0.214339896  0.005068361  0.000000000  0.164395827  5.724915989 
 0.500000000  1.714192060  1.660744239  0.169147507  0.182649680  0.001799520  0.242100921  0.243991803  0.006639871  0.000000000  0.185066183  5.381266755 
 0.524860160  1.750000000  1.704335937  0.177371722  0.191556492  0.001979750  0.273375000  0.257282867  0.007419438  0.000000000  0.195774151  5.208139782 
 0.624545911  1.875000000  1.864217922  0.208822765  0.225210007  0.002771440  0.273509141  0.308199298  0.010990204  0.000000000  0.230935355  4.951544869 
 0.625000000  1.875509413  1.864900343  0.208961896  0.225363083  0.002775226  0.273509141  0.308482291  0.011010219  0.000000000  0.231106134  4.846206943 
 0.687500000  1.937500000  1.952929218  0.227310669  0.245598301  0.003281227  0.290725168  0.347025994  0.013894391  0.000000000  0.254901535  0.000000000 

