xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.041184123  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.066432395  0.250000000  0.127524410  0.003886466  0.003840097  0.000000508  0.005095220  0.002653853  0.000000146  0.000000000  0.003365530  0.000000000 
 0.093487024  0.375000000  0.255418714  0.009693188  0.009519201  0.000004453  0.010055450  0.007320794  0.000002364  0.000000000  0.008471160  1.046068649 
 0.120737024  0.500000000  0.383354489  0.017521333  0.017159889  0.000019269  0.011124555  0.015093374  0.000017426  0.000000000  0.015523669  0.000000000 
 0.125000000  0.523011722  0.406757744  0.019185432  0.018798414  0.000024377  0.011124555  0.017124918  0.000022849  0.000000000  0.017177393  0.000000000 
 0.150550671  0.625000000  0.511897867  0.027939090  0.028030158  0.000055845  0.039087526  0.031564856  0.000113566  0.000000000  0.027121533 13.892578125 
 0.179509541  0.750000000  0.640208491  0.040860195  0.042388304  0.000126553  0.064768421  0.049060932  0.000303574  0.000000000  0.040971946  0.000000000 
 0.208510245  0.875000000  0.768528563  0.055673509  0.059111932  0.000259169  0.083186735  0.070628255  0.000637129  0.000000000  0.057184858  0.238809400 
 0.238809400  1.000000000  0.897148308  0.072505262  0.078416149  0.000478665  0.088934283  0.097219912  0.001218478  0.000000000  0.075949839  1.000000000 
 0.250000000  1.046068649  0.944556639  0.079248048  0.086263692  0.000588921  0.088934283  0.108927862  0.001498342  0.000000000  0.083862129  0.000000000 
 0.272689586  1.125000000  1.026684439  0.091917495  0.100943221  0.000807905  0.139338133  0.133414061  0.002221052  0.000000000  0.107089238  0.000000000 
 0.309796117  1.250000000  1.157075753  0.114208644  0.126491205  0.001270481  0.173899609  0.171532339  0.003792398  0.000000000  0.132344632  5.487972260 
 0.351308515  1.375000000  1.288788619  0.138988318  0.154996705  0.001954563  0.186960195  0.214787774  0.006098764  0.000000000  0.160656313  0.000000000 
 0.375000000  1.439721597  1.357710108  0.152966642  0.171251968  0.002414798  0.186960195  0.240025878  0.007648065  0.000000000  0.177179219  0.208510245 
 0.400529593  1.500000000  1.423171898  0.167067103  0.187616196  0.002903180  0.236996916  0.266458235  0.009482174  0.000000000  0.199624648  0.875000000 
 0.459356735  1.625000000  1.561322659  0.199120884  0.224270189  0.004178236  0.257255518  0.323679474  0.014469491  0.000000000  0.236760245  0.000000000 
 0.500000000  1.698846975  1.645615308  0.220031306  0.248292258  0.005169337  0.257255518  0.363084595  0.018591623  0.000000000  0.261690972  0.000000000 
 0.532900449  1.750000000  1.706435301  0.235820700  0.266423135  0.005968598  0.298167092  0.393630912  0.022208911  0.000000000  0.284379814  2.887458801 
 0.625000000  1.871746423  1.859093477  0.277247734  0.313364590  0.008375830  0.298167092  0.475733273  0.034036334  0.000000000  0.333398318  0.000000000 
 0.627916899  1.875000000  1.863463152  0.278470020  0.314753958  0.008452645  0.346145871  0.478280350  0.034444356  0.000000000  0.335022528  0.179509541 
 0.687500000  1.937500000  1.949813578  0.302936014  0.342565375  0.010025170  0.370015330  0.529865990  0.043057633  0.000000000  0.365578109  0.750000000 

 0.125000000  0.035280603  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.059600449  0.127343845  0.004165570  0.004109007  0.000000656  0.000000000  0.004742842  0.000001131  0.000000000  0.003503570  0.000000000 
 0.375000000  0.087602532  0.255441920  0.010641902  0.010415761  0.000005934  0.000000000  0.012765824  0.000010974  0.000000000  0.009120935  0.035485605 
 0.500000000  0.117303158  0.383921985  0.019700024  0.019196757  0.000026787  0.000000000  0.024777280  0.000048333  0.000000000  0.017190194  0.000000000 
 0.537347345  0.125000000  0.422054197  0.022924516  0.022353206  0.000039582  0.008604056  0.029056282  0.000069448  0.000000000  0.020360941  0.000000000 
 0.625000000  0.149822743  0.513153903  0.031997569  0.031975274  0.000083567  0.008604056  0.040139848  0.000130581  0.000000000  0.030611802  0.000058669 
 0.750000000  0.182117243  0.642258259  0.047646278  0.049625393  0.000200014  0.008604056  0.060173737  0.000274948  0.000000000  0.047658210  0.000000000 
 0.875000000  0.214313140  0.771337985  0.065989063  0.070717435  0.000429170  0.008604056  0.085875599  0.000560228  0.000000000  0.068202609  0.250000000 
 1.000000000  0.247207884  0.900593794  0.087134149  0.095518861  0.000823967  0.008604056  0.117182931  0.001065767  0.000000000  0.092475237  0.059817269 
 1.011368754  0.250000000  0.912300395  0.089201851  0.097998397  0.000871055  0.030751326  0.120218175  0.001126499  0.000000000  0.095027510  0.000000000 
 1.125000000  0.283177677  1.030676145  0.111981694  0.125180596  0.001441426  0.030751326  0.150864494  0.001806043  0.000000000  0.138909360  0.000000000 
 1.250000000  0.321295599  1.161358875  0.140412879  0.158647188  0.002352382  0.030751326  0.190458293  0.002837346  0.000000000  0.172162084  0.001373922 
 1.375000000  0.363000710  1.293132606  0.172189477  0.196327862  0.003708803  0.030751326  0.238548709  0.004400921  0.000000000  0.209817090  0.000000000 
 1.409437921  0.375000000  1.329601131  0.181589437  0.207658956  0.004177513  0.057063676  0.252750322  0.004950194  0.000000000  0.221506903  0.375000000 
 1.500000000  0.411487508  1.427237336  0.208379383  0.239846342  0.005605572  0.057063676  0.290088769  0.006520655  0.000000000  0.267935411  0.087764681 
 1.625000000  0.468650806  1.564687846  0.249520512  0.288440975  0.008206819  0.057063676  0.349205013  0.009279960  0.000000000  0.317333192  0.000000000 
 1.684963236  0.500000000  1.632351437  0.271092660  0.314137584  0.009812882  0.082118910  0.381739723  0.011024648  0.000000000  0.344194348  0.000000000 
 1.750000000  0.539330731  1.708355957  0.296420417  0.344260303  0.011829980  0.082118910  0.418014089  0.013086539  0.000000000  0.383074626  0.006533161 
 1.868428460  0.625000000  1.854522041  0.347451418  0.404064651  0.016511374  0.085177165  0.493389070  0.017758905  0.000000000  0.445619806  0.000000000 
 1.875000000  0.630507000  1.863095966  0.350522972  0.407673276  0.016814630  0.085177165  0.497573794  0.018045130  0.000000000  0.449897930  0.500000000 
 1.937500000  0.687500000  1.947679960  0.381019887  0.443451457  0.019893284  0.118312562  0.538525244  0.020830526  0.000000000  0.488943355  0.117370026 

