[Time,Iteration#,Particle#] Sw(Measured) Sw(Predicted) Diff Sw_Variance
[0.35,42,0] 0.7  0.692958  0.00704247  0.00481682
[0.35,42,1] 0  0.278821  -0.278821  0.0978728

[0.35,43,0] 0.7  0.693242  0.00675778  0.00467999
[0.35,43,1] 0  0.278658  -0.278658  0.0977602

[0.35,44,0] 0.7  0.693876  0.00612357  0.00450413
[0.35,44,1] 0  0.276905  -0.276905  0.0976161

[0.35,45,0] 0.7  0.694408  0.00559164  0.00438799
[0.35,45,1] 0  0.275165  -0.275165  0.0974743

[0.35,46,0] 0.7  0.69497  0.00502985  0.00422588
[0.35,46,1] 0  0.273438  -0.273438  0.0973342

[0.35,47,0] 0.7  0.695438  0.00456213  0.00411867
[0.35,47,1] 0  0.273315  -0.273315  0.0972476

