[Time,Iteration#,Particle#] Sw(Measured) Sw(Predicted) Diff Sw_Variance

[0.35,0,0] 0.7  0.494833  0.205167  0.0768396
[0.35,0,1] 0  0.494833  -0.494833  0.0768396

[0.35,1,0] 0.7  0.514134  0.185866  0.0710967
[0.35,1,1] 0  0.483881  -0.483881  0.0797645

[0.35,2,0] 0.7  0.531047  0.168953  0.065645
[0.35,2,1] 0  0.472805  -0.472805  0.0826202

[0.35,3,0] 0.7  0.545797  0.154203  0.0606172
[0.35,3,1] 0  0.462962  -0.462962  0.084912

[0.35,4,0] 0.7  0.558611  0.141389  0.0560891
[0.35,4,1] 0  0.453052  -0.453052  0.0871275

[0.35,5,0] 0.7  0.571445  0.128555  0.0511161
[0.35,5,1] 0  0.443071  -0.443071  0.089253

[0.35,6,0] 0.7  0.581708  0.118292  0.0472172
[0.35,6,1] 0  0.434474  -0.434474  0.0908569

[0.35,7,0] 0.7  0.591291  0.108709  0.0434252
[0.35,7,1] 0  0.425854  -0.425854  0.0923863

[0.35,8,0] 0.7  0.600214  0.099786  0.0397706
[0.35,8,1] 0  0.418701  -0.418701  0.0934491

[0.35,9,0] 0.7  0.607868  0.0921324  0.0366818
[0.35,9,1] 0  0.410055  -0.410055  0.0948307

[0.35,10,0] 0.7  0.615016  0.0849842  0.0337272
[0.35,10,1] 0  0.402908  -0.402908  0.095772

[0.35,11,0] 0.7  0.621679  0.0783207  0.0309183
[0.35,11,1] 0  0.395769  -0.395769  0.0966551

[0.35,12,0] 0.7  0.62738  0.0726204  0.0286029
[0.35,12,1] 0  0.390185  -0.390185  0.097165

[0.35,13,0] 0.7  0.632722  0.0672782  0.0264044
[0.35,13,1] 0  0.383069  -0.383069  0.0979416

[0.35,14,0] 0.7  0.637722  0.0622778  0.0243256
[0.35,14,1] 0  0.377526  -0.377526  0.0983746

[0.35,15,0] 0.7  0.641998  0.0580022  0.0226512
[0.35,15,1] 0  0.372006  -0.372006  0.0987746

[0.35,16,0] 0.7  0.646399  0.053601  0.0207961
[0.35,16,1] 0  0.364924  -0.364924  0.0993836

[0.35,17,0] 0.7  0.650165  0.0498352  0.0193096
[0.35,17,1] 0  0.359439  -0.359439  0.0996966

[0.35,18,0] 0.7  0.653708  0.046292  0.0179081
[0.35,18,1] 0  0.355567  -0.355567  0.0997616

[0.35,19,0] 0.7  0.656742  0.0432581  0.0168098
[0.35,19,1] 0  0.350127  -0.350127  0.100016

[0.35,20,0] 0.7  0.659896  0.0401043  0.0155594
[0.35,20,1] 0  0.34456  -0.34456  0.100143

[0.35,21,0] 0.7  0.6626  0.0373999  0.0145824
[0.35,21,1] 0  0.340763  -0.340763  0.100153

[0.35,22,0] 0.7  0.665401  0.0345989  0.0134768
[0.35,22,1] 0  0.335384  -0.335384  0.100305

[0.35,23,0] 0.7  0.667808  0.0321923  0.0126153
[0.35,23,1] 0  0.331634  -0.331634  0.10028

[0.35,24,0] 0.7  0.670084  0.0299165  0.0118036
[0.35,24,1] 0  0.327907  -0.327907  0.100243

[0.35,25,0] 0.7  0.672039  0.0279607  0.01119
[0.35,25,1] 0  0.322591  -0.322591  0.100306

[0.35,26,0] 0.7  0.674084  0.0259157  0.0104633
[0.35,26,1] 0  0.318908  -0.318908  0.100233

[0.35,27,0] 0.7  0.676015  0.0239849  0.00978194
[0.35,27,1] 0  0.315248  -0.315248  0.100147

[0.35,28,0] 0.7  0.677678  0.0223219  0.00926768
[0.35,28,1] 0  0.313221  -0.313221  0.0999711

[0.35,29,0] 0.7  0.679257  0.0207428  0.00877969
[0.35,29,1] 0  0.309604  -0.309604  0.099871

[0.35,30,0] 0.7  0.680755  0.0192445  0.00831712
[0.35,30,1] 0  0.306009  -0.306009  0.0997579

[0.35,31,0] 0.7  0.682176  0.0178238  0.00787911
[0.35,31,1] 0  0.302434  -0.302434  0.0996316

[0.35,32,0] 0.7  0.683522  0.0164778  0.00746479
[0.35,32,1] 0  0.300491  -0.300491  0.099457

[0.35,33,0] 0.7  0.684796  0.0152038  0.00707329
[0.35,33,1] 0  0.296957  -0.296957  0.0993159

[0.35,34,0] 0.7  0.686001  0.0139991  0.0067037
[0.35,34,1] 0  0.295052  -0.295052  0.0991439

[0.35,35,0] 0.7  0.687035  0.0129649  0.00643798
[0.35,35,1] 0  0.293165  -0.293165  0.0989759

[0.35,36,0] 0.7  0.688115  0.011885  0.00610452
[0.35,36,1] 0  0.28969  -0.28969  0.0988179

[0.35,37,0] 0.7  0.68904  0.0109598  0.00586471
[0.35,37,1] 0  0.287838  -0.287838  0.0986519

[0.35,38,0] 0.7  0.689916  0.010084  0.00563542
[0.35,38,1] 0  0.286003  -0.286003  0.0984896

[0.35,39,0] 0.7  0.690744  0.00925609  0.00541632
[0.35,39,1] 0  0.284185  -0.284185  0.0983307

[0.35,40,0] 0.7  0.691526  0.00847428  0.00520707
[0.35,40,1] 0  0.282382  -0.282382  0.0981751

[0.35,41,0] 0.7  0.692263  0.00773695  0.00500734
[0.35,41,1] 0  0.280594  -0.280594  0.0980226

