xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.029671371  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.052925635  0.127144645  0.004523871  0.004455492  0.000000848  0.000000000  0.005188142  0.000001394  0.000000000  0.003676370  0.000000000 
 0.375000000  0.081728751  0.255420206  0.011886555  0.011596961  0.000007872  0.000000000  0.014426565  0.000014046  0.000000000  0.009982579  0.000000000 
 0.500000000  0.113815808  0.384472828  0.022608916  0.021926770  0.000036817  0.000000000  0.028873277  0.000064601  0.000000000  0.019438226  0.000000000 
 0.549169687  0.125000000  0.434898459  0.027805689  0.026985861  0.000062219  0.009274221  0.035898388  0.000105121  0.000000000  0.024497550  0.000000000 
 0.625000000  0.149398089  0.514557125  0.037591048  0.037372290  0.000122160  0.009274221  0.048208101  0.000185113  0.000000000  0.035547563  0.000000000 
 0.750000000  0.185294245  0.644609169  0.057225291  0.059622196  0.000307108  0.009274221  0.074263922  0.000410515  0.000000000  0.057139013  0.000000000 
 0.875000000  0.220711582  0.774529867  0.080695210  0.086755719  0.000685329  0.009274221  0.108137683  0.000878921  0.000000000  0.083761818  0.000000000 
 0.981103625  0.250000000  0.884601619  0.103657427  0.113903253  0.001233323  0.013708966  0.142775723  0.001576870  0.000000000  0.110778162  0.000000000 
 1.000000000  0.256394298  0.904550555  0.108250753  0.119344693  0.001353530  0.013708966  0.148125449  0.001721560  0.000000000  0.118709122  0.000000000 
 1.125000000  0.294207938  1.035144856  0.141470052  0.158452038  0.002380073  0.013708966  0.187697647  0.002907209  0.000000000  0.157579979  0.000000000 
 1.250000000  0.333217184  1.166090345  0.178859865  0.202837913  0.004028393  0.013708966  0.244577027  0.004873311  0.000000000  0.202048622  0.000000000 
 1.375000000  0.374777535  1.297818333  0.220644003  0.253074100  0.006468265  0.013708966  0.310890481  0.007896545  0.000000000  0.252477861  0.000000000 
 1.375672399  0.375000000  1.298526578  0.220881481  0.253365859  0.006483977  0.060282572  0.311261590  0.007916360  0.000000000  0.252782203  0.000000000 
 1.500000000  0.422631253  1.431665936  0.268537983  0.311608700  0.009898247  0.060282572  0.382038149  0.012010377  0.000000000  0.340793307  0.000000000 
 1.625000000  0.477984958  1.568373773  0.322532058  0.376259674  0.014651099  0.060282572  0.464893042  0.017626587  0.000000000  0.406774533  0.000000000 
 1.669416417  0.500000000  1.617946751  0.343251901  0.401362922  0.016768976  0.100259868  0.497049184  0.020173851  0.000000000  0.433162000  0.000000000 
 1.750000000  0.545812224  1.710642348  0.383706976  0.450253141  0.021189927  0.100259868  0.557888024  0.025255870  0.000000000  0.497898300  0.000000000 
 1.864795225  0.625000000  1.850100756  0.447637438  0.526261663  0.029282478  0.106349782  0.656434484  0.034406097  0.000000000  0.577646712  0.000000000 
 1.875000000  0.633002277  1.863068943  0.453714593  0.533506278  0.030106748  0.106349782  0.665592466  0.035302260  0.000000000  0.586331246  0.000000000 
 1.937500000  0.687500000  1.945992111  0.492640209  0.579830735  0.035510053  0.148326050  0.723183152  0.040995961  0.000000000  0.636772976  0.000000000 

 0.049013396  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.075117185  0.250000000  0.127696546  0.003601313  0.003566097  0.000000367  0.004295455  0.002505110  0.000000154  0.000000000  0.003220139  0.000000000 
 0.100645665  0.375000000  0.255276730  0.008747266  0.008625865  0.000003079  0.008133402  0.006734041  0.000002053  0.000000000  0.007823235 21.468146053 
 0.124701754  0.500000000  0.382570466  0.015396798  0.015167611  0.000012522  0.008207934  0.013605154  0.000013452  0.000000000  0.013900996 17.171176785 
 0.125000000  0.501857105  0.384451367  0.015506900  0.015276701  0.000012754  0.008207934  0.013640771  0.000013701  0.000000000  0.014011789 16.875012720 
 0.151563502  0.625000000  0.510426731  0.024132779  0.024283712  0.000032483  0.035861550  0.019100671  0.000091002  0.000000000  0.023917086 12.785167332 
 0.176688694  0.750000000  0.637926830  0.034644384  0.035686344  0.000068263  0.061478187  0.034010320  0.000226205  0.000000000  0.034958433 11.447301488 
 0.201930657  0.875000000  0.765449992  0.046347589  0.048504600  0.000130646  0.080910733  0.051539403  0.000429685  0.000000000  0.047376837 10.310469209 
 0.229032871  1.000000000  0.893354370  0.059375898  0.062914120  0.000227481  0.090120622  0.072037790  0.000743374  0.000000000  0.061319281  9.290724380 
 0.250000000  1.088138855  0.983952815  0.069471092  0.074161089  0.000323306  0.090120622  0.088638591  0.001040485  0.000000000  0.072376611  8.608944175 
 0.260411579  1.125000000  1.022256144  0.074095535  0.079296868  0.000366600  0.137005098  0.096878188  0.001204540  0.000000000  0.080359574  7.914971633 
 0.296544576  1.250000000  1.152373758  0.091096286  0.098004263  0.000540904  0.169803943  0.124265135  0.001857777  0.000000000  0.098832502  7.344429099 
 0.337615723  1.375000000  1.283948220  0.109741708  0.118479308  0.000796965  0.185292010  0.153645478  0.002741587  0.000000000  0.119061047  6.732993391 
 0.375000000  1.471785211  1.387702551  0.125700536  0.136078570  0.001063274  0.185292010  0.179031188  0.003673495  0.000000000  0.136595576  6.234088537 
 0.387673312  1.500000000  1.418632911  0.130745154  0.141640410  0.001148838  0.227176850  0.187138642  0.003991252  0.000000000  0.143782997  5.981899479 
 0.448492289  1.625000000  1.557643515  0.154785484  0.167795817  0.001597596  0.245744496  0.223825949  0.005627353  0.000000000  0.170255753  5.549049662 
 0.500000000  1.713348928  1.659910701  0.173714457  0.188366186  0.002026669  0.245744496  0.254490512  0.007378118  0.000000000  0.191386742  5.220840539 
 0.525339237  1.750000000  1.704468282  0.182358963  0.197771383  0.002234437  0.277877285  0.268661625  0.008274784  0.000000000  0.202710831  5.047459033 
 0.624697969  1.875000000  1.864146576  0.214671056  0.232505442  0.003125722  0.277969267  0.321764047  0.012291009  0.000000000  0.238986813  4.800018361 
 0.625000000  1.875339873  1.864601258  0.214766372  0.232610753  0.003128558  0.277969267  0.322049097  0.012306096  0.000000000  0.239104255  4.701415540 
 0.687500000  1.937500000  1.952749607  0.233659095  0.253534169  0.003699309  0.295703229  0.380552922  0.015575158  0.000000000  0.263725887  0.000000000 

