xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.046837158  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.072957760  0.250000000  0.127699984  0.003692497  0.003653267  0.000000407  0.004477192  0.002552279  0.000000151  0.000000000  0.003270620  0.000000000 
 0.099100782  0.375000000  0.255404555  0.009040171  0.008901829  0.000003476  0.008558562  0.006909508  0.000002143  0.000000000  0.008034065  0.000000000 
 0.124061531  0.500000000  0.382872351  0.016030195  0.015762757  0.000014444  0.008794500  0.014032688  0.000014524  0.000000000  0.014401802  0.000000000 
 0.125000000  0.505639526  0.388589429  0.016384333  0.016113072  0.000015287  0.008794500  0.014397304  0.000015406  0.000000000  0.014757573  0.000000000 
 0.151784697  0.625000000  0.510918259  0.025263794  0.025422132  0.000038954  0.036629656  0.027156390  0.000098640  0.000000000  0.024950560 15.118593071 
 0.177828335  0.750000000  0.638602523  0.036454084  0.037666097  0.000084204  0.062429878  0.042795741  0.000249082  0.000000000  0.036799825 13.522453624 
 0.203874854  0.875000000  0.766287374  0.048988663  0.051541210  0.000164550  0.081795481  0.061415909  0.000485392  0.000000000  0.050247040 12.028407260 
 0.231612688  1.000000000  0.894327943  0.062996432  0.067224811  0.000291331  0.090311514  0.083508573  0.000862941  0.000000000  0.065440206 10.603575174 
 0.250000000  1.077143874  0.973632864  0.072461902  0.077915936  0.000400278  0.090311514  0.099272582  0.001175226  0.000000000  0.076018635  9.662549449 
 0.263538079  1.125000000  1.023367041  0.078896805  0.085158528  0.000475183  0.138829412  0.110962608  0.001439865  0.000000000  0.087333757  7.427424290 
 0.299774107  1.250000000  1.153513304  0.097221499  0.105593942  0.000715741  0.172628841  0.140971522  0.002284343  0.000000000  0.107523292  6.641123538 
 0.340841164  1.375000000  1.285086490  0.117354807  0.128033426  0.001067393  0.187961379  0.173592596  0.003456655  0.000000000  0.129717828  5.853986949 
 0.375000000  1.464565331  1.380944586  0.133237957  0.145833610  0.001402235  0.187961379  0.199761831  0.004598502  0.000000000  0.147530938  5.298510364 
 0.390692840  1.500000000  1.419698695  0.140048488  0.153461044  0.001550188  0.232261852  0.211153189  0.005136844  0.000000000  0.157515148  4.786179727 
 0.450978764  1.625000000  1.558476909  0.165992250  0.182130253  0.002178135  0.251525011  0.252457421  0.007406643  0.000000000  0.186530496  4.168496580 
 0.500000000  1.710207703  1.656779678  0.185644701  0.203848039  0.002749968  0.251525011  0.285900558  0.009733476  0.000000000  0.208876659  3.883388086 
 0.527070954  1.750000000  1.704907252  0.195727865  0.214999346  0.003062232  0.285911905  0.303290626  0.011083450  0.000000000  0.222417282  3.672945716 
 0.625000000  1.874594096  1.863380552  0.230382617  0.252856041  0.004292490  0.285911905  0.363624115  0.016692968  0.000000000  0.261916322  3.316541346 
 0.625387905  1.875000000  1.863942004  0.230509830  0.252995603  0.004297402  0.324991745  0.363856223  0.016717033  0.000000000  0.262077493  3.431472768 
 0.687500000  1.937500000  1.952056488  0.250889449  0.275400044  0.005104386  0.344189298  0.400559394  0.020648026  0.000000000  0.286891736  3.168789891 

 0.125000000  0.032295570  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.056365562  0.127296365  0.004380250  0.004315382  0.000000762  0.000000000  0.005015830  0.000001296  0.000000000  0.003612708  0.000000000 
 0.375000000  0.085123276  0.255561739  0.011372096  0.011105007  0.000007012  0.000000000  0.013756916  0.000012875  0.000000000  0.009642282  0.000003496 
 0.500000000  0.116230399  0.384374211  0.021364373  0.020753648  0.000032420  0.000000000  0.027152878  0.000058141  0.000000000  0.018505496  0.000014544 
