xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.047963211  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.074206422  0.250000000  0.127725119  0.003655851  0.003618265  0.000000388  0.004364834  0.002532753  0.000000152  0.000000000  0.003252102  0.000000000 
 0.100122317  0.375000000  0.255383388  0.008918812  0.008788118  0.000003286  0.008291430  0.006834750  0.000002110  0.000000000  0.007951650  0.000000000 
 0.124618247  0.500000000  0.382760979  0.015757978  0.015509382  0.000013508  0.008387584  0.013851869  0.000014095  0.000000000  0.014194976  0.000000000 
 0.125000000  0.502342939  0.385134815  0.015901224  0.015651217  0.000013829  0.008387584  0.013937721  0.000014434  0.000000000  0.014339136  0.980036960 
 0.151947708  0.625000000  0.510717193  0.024784183  0.024946730  0.000035747  0.036265911  0.022362104  0.000096591  0.000000000  0.024554981  0.000000000 
 0.177447801  0.750000000  0.638291699  0.035674674  0.036809558  0.000076277  0.062147137  0.037713468  0.000241330  0.000000000  0.036044663  0.000000000 
 0.202951361  0.875000000  0.765866899  0.047819845  0.050174875  0.000147231  0.081714470  0.055878388  0.000463385  0.000000000  0.048999908  0.000000000 
 0.230216533  1.000000000  0.893805906  0.061349105  0.065214653  0.000257740  0.090705460  0.077254977  0.000810823  0.000000000  0.063562141  0.000000000 
 0.250000000  1.083305299  0.979428091  0.071235135  0.076287659  0.000360442  0.090705460  0.093650649  0.001120948  0.000000000  0.074477181  0.336178046 
 0.261767060  1.125000000  1.022751431  0.076658924  0.082343673  0.000416639  0.138871375  0.103399691  0.001328141  0.000000000  0.083924615  0.000000000 
 0.297887221  1.250000000  1.152865480  0.094325484  0.101890366  0.000619588  0.172463691  0.132030462  0.002067187  0.000000000  0.103241652  0.000000000 
 0.338877242  1.375000000  1.284414642  0.113685255  0.123269158  0.000915501  0.188066818  0.162865798  0.003073368  0.000000000  0.124375060  0.000000000 
 0.375000000  1.469018210  1.385133446  0.129746257  0.141081031  0.001212218  0.188066818  0.188770564  0.004102063  0.000000000  0.142146102  0.249688924 
 0.388838409  1.500000000  1.419065332  0.135484475  0.147442976  0.001320547  0.231331023  0.198105255  0.004499048  0.000000000  0.150399086  0.000000000 
 0.449421297  1.625000000  1.557972805  0.160414857  0.174718602  0.001840508  0.250340823  0.236578591  0.006370823  0.000000000  0.178011973  0.000000000 
 0.500000000  1.712205150  1.658784231  0.179760333  0.195858030  0.002327102  0.250340823  0.268469250  0.008350467  0.000000000  0.199732120  0.303171231 
 0.525982730  1.750000000  1.704648736  0.188986231  0.205950918  0.002573484  0.283609694  0.283832875  0.009408673  0.000000000  0.211909491  0.000000000 
 0.624910240  1.875000000  1.864059064  0.222447477  0.242116073  0.003598317  0.283638132  0.339759069  0.014011899  0.000000000  0.249663393  0.000000000 
 0.625000000  1.875101410  1.864194492  0.222476908  0.242148753  0.003599288  0.283638132  0.340016347  0.014017076  0.000000000  0.249699818  0.999398665 
 0.687500000  1.937500000  1.952511161  0.242098614  0.263987947  0.004256964  0.302064269  0.518588178  0.017792014  0.000000000  0.275421021  0.000000000 

 0.125000000  0.031701062  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.055703997  0.127283702  0.004426143  0.004359854  0.000000781  0.000000000  0.005072280  0.000001324  0.000000000  0.003635575  0.000000000 
 0.375000000  0.084603250  0.255580884  0.011529991  0.011255604  0.000007209  0.000000000  0.013963330  0.000013200  0.000000000  0.009754911 15.014441218 
 0.500000000  0.115995429  0.384462492  0.021728052  0.021097539  0.000033450  0.000000000  0.027652662  0.000059888  0.000000000  0.018793054 10.930083374 
 0.541287321  0.125000000  0.426720334  0.025810411  0.025080007  0.000052012  0.009508324  0.033138329  0.000090088  0.000000000  0.022797541  9.852864841 
 0.625000000  0.150667486  0.514279642  0.035881669  0.035778356  0.000109352  0.009508324  0.045716586  0.000168037  0.000000000  0.034238323  7.796846638 
 0.750000000  0.185128575  0.643942924  0.054209927  0.056542552  0.000271892  0.009508324  0.069804772  0.000368272  0.000000000  0.054384107  6.490846668 
 0.875000000  0.219040511  0.773461337  0.075887267  0.081608525  0.000598729  0.009508324  0.100772565  0.000774492  0.000000000  0.078930383  5.549720426 
 0.989999287  0.250000000  0.892555107  0.098836936  0.108722665  0.001114491  0.011663434  0.135211230  0.001432348  0.000000000  0.105725816  4.885860748 
 1.000000000  0.253298291  0.903085681  0.101074252  0.111370555  0.001169151  0.011663434  0.137029044  0.001498354  0.000000000  0.109588527  4.553219190 
 1.125000000  0.290237855  1.033429577  0.131461087  0.147125091  0.002031109  0.011663434  0.162765696  0.002482616  0.000000000  0.145078454  4.066715438 
 1.250000000  0.328606753  1.164185733  0.165436870  0.187428340  0.003405430  0.011663434  0.213342786  0.004080155  0.000000000  0.185365697  3.663461213 
 1.375000000  0.370025388  1.295869078  0.203298787  0.232881835  0.005426052  0.011663434  0.272261916  0.006497618  0.000000000  0.230855767  3.320229468 
 1.389719491  0.375000000  1.311406458  0.208034563  0.238674781  0.005715491  0.049328266  0.279560967  0.006849816  0.000000000  0.236863663  3.251931945 
 1.500000000  0.418079603  1.429802585  0.246490870  0.285502825  0.008252495  0.049328266  0.335144382  0.009768276  0.000000000  0.305998234  2.931330559 
 1.625000000  0.474056883  1.566764098  0.295295289  0.343832380  0.012149349  0.049328266  0.407854530  0.014123580  0.000000000  0.365377821  2.699543705 
 1.676179721  0.500000000  1.624143616  0.316963566  0.369987502  0.014163654  0.082659981  0.441089653  0.016417422  0.000000000  0.392765906  2.606209095 
 1.750000000  0.543097839  1.709623773  0.350690916  0.410602719  0.017518024  0.082659981  0.490767633  0.020043706  0.000000000  0.445859841  2.473710289 
 1.866467854  0.625000000  1.852006094  0.409655322  0.480500229  0.024286955  0.087302125  0.579987025  0.027191960  0.000000000  0.519001721  2.365432285 
