xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.045804923  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.071797364  0.250000000  0.127673831  0.003726559  0.003685983  0.000000424  0.004583297  0.002570270  0.000000150  0.000000000  0.003287654  0.000000000 
 0.098134283  0.375000000  0.255418237  0.009153530  0.009008776  0.000003641  0.008812591  0.006979878  0.000002176  0.000000000  0.008110683  0.000000000 
 0.123517113  0.500000000  0.382969356  0.016285850  0.016002246  0.000015256  0.009184918  0.014206973  0.000014954  0.000000000  0.014595424  0.000000000 
 0.125000000  0.508740098  0.391834359  0.016848499  0.016558374  0.000016664  0.009184918  0.014844676  0.000016422  0.000000000  0.015159678  0.000000000 
 0.151605291  0.625000000  0.511099635  0.025716484  0.025867294  0.000041746  0.037002335  0.028624161  0.000100729  0.000000000  0.025321476 15.076224746 
 0.178156127  0.750000000  0.638888316  0.037192932  0.038464187  0.000091099  0.062747419  0.044548788  0.000256891  0.000000000  0.037503527 13.465312080 
 0.204711399  0.875000000  0.766677918  0.050100702  0.052810778  0.000179676  0.081935934  0.063621700  0.000507354  0.000000000  0.051405986 11.961502774 
 0.232891486  1.000000000  0.894815022  0.064568221  0.069089539  0.000320785  0.090001730  0.086415913  0.000914515  0.000000000  0.067182886 10.532241000 
 0.250000000  1.071535539  0.968367960  0.073622094  0.079376608  0.000432897  0.090001730  0.101563208  0.001226065  0.000000000  0.077395734  9.622778572 
 0.265161589  1.125000000  1.023940636  0.081036800  0.087769661  0.000526635  0.138852545  0.115156671  0.001550331  0.000000000  0.090534122  7.380656339 
 0.301521367  1.250000000  1.154121408  0.099998127  0.109031771  0.000800366  0.172832004  0.146451518  0.002497483  0.000000000  0.111537181  6.593252694 
 0.342663686  1.375000000  1.285718104  0.120878827  0.132453441  0.001201277  0.187875622  0.180747177  0.003829403  0.000000000  0.134716520  5.807609298 
 0.375000000  1.460376454  1.377013099  0.136554164  0.150150233  0.001563882  0.187875622  0.206999547  0.005059005  0.000000000  0.152475503  5.265584117 
 0.392410644  1.500000000  1.420293070  0.144436894  0.159041165  0.001752699  0.233156067  0.220463596  0.005747950  0.000000000  0.164207490  4.742542136 
 0.452429778  1.625000000  1.558955598  0.171361026  0.188999639  0.002475495  0.252640786  0.264310372  0.008393341  0.000000000  0.194526371  4.130889345 
 0.500000000  1.708314494  1.654894281  0.191284113  0.211188895  0.003117167  0.252640786  0.298948455  0.011014085  0.000000000  0.217391907  3.850841227 
