[Time,Iteration#,Particle#] Sw(Measured) Sw(Predicted) Diff Sw_Variance
[0.5,51,0] 0.4  0.407537  -0.00753669  0.0935673
[0.5,51,1] 0  0.766199  -0.766199  0.00122003

[0.5,52,0] 0.4  0.407458  -0.00745813  0.0935279
[0.5,52,1] 0  0.766244  -0.766244  0.00121824

[0.5,53,0] 0.4  0.40738  -0.00738047  0.093489
[0.5,53,1] 0  0.766289  -0.766289  0.00121647

[0.5,54,0] 0.4  0.407304  -0.00730368  0.0934504
[0.5,54,1] 0  0.766333  -0.766333  0.00121472

[0.5,55,0] 0.4  0.407228  -0.0072277  0.0934123
[0.5,55,1] 0  0.766377  -0.766377  0.00121299

[0.5,56,0] 0.4  0.407153  -0.00715263  0.0933745
[0.5,56,1] 0  0.76642  -0.76642  0.00121127

[0.5,57,0] 0.4  0.408585  -0.00858535  0.092978
[0.5,57,1] 0  0.766462  -0.766462  0.00120957

[0.5,58,0] 0.4  0.406985  -0.00698538  0.0932915
[0.5,58,1] 0  0.766511  -0.766511  0.0012078

[0.5,59,0] 0.4  0.406913  -0.00691297  0.093255
[0.5,59,1] 0  0.766553  -0.766553  0.00120614

[0.5,60,0] 0.4  0.408348  -0.00834835  0.0928604
[0.5,60,1] 0  0.766593  -0.766593  0.0012045

[0.5,61,0] 0.4  0.406751  -0.00675123  0.0931745
[0.5,61,1] 0  0.76664  -0.76664  0.00120279

[0.5,62,0] 0.4  0.408188  -0.00818834  0.0927812
[0.5,62,1] 0  0.76668  -0.76668  0.00120117

[0.5,63,0] 0.4  0.406593  -0.00659302  0.0930956
[0.5,63,1] 0  0.766726  -0.766726  0.0011995

[0.5,64,0] 0.4  0.408032  -0.00803189  0.0927036
[0.5,64,1] 0  0.766764  -0.766764  0.00119792

[0.5,65,0] 0.4  0.407945  -0.00794541  0.0926612
[0.5,65,1] 0  0.766809  -0.766809  0.00119627

[0.5,66,0] 0.4  0.406353  -0.00635289  0.0929762
[0.5,66,1] 0  0.766853  -0.766853  0.00119465

[0.5,67,0] 0.4  0.407794  -0.00779431  0.0925861
[0.5,67,1] 0  0.76689  -0.76689  0.00119312

[0.5,68,0] 0.4  0.407711  -0.00771052  0.0925449
[0.5,68,1] 0  0.766933  -0.766933  0.00119153

[0.5,69,0] 0.4  0.407628  -0.00762772  0.0925042
[0.5,69,1] 0  0.766976  -0.766976  0.00118995

[0.5,70,0] 0.4  0.407546  -0.00754583  0.0924639
[0.5,70,1] 0  0.767018  -0.767018  0.00118839

[0.5,71,0] 0.4  0.407465  -0.00746483  0.092424
[0.5,71,1] 0  0.767059  -0.767059  0.00118684

[0.5,72,0] 0.4  0.407385  -0.00738478  0.0923846
[0.5,72,1] 0  0.7671  -0.7671  0.00118532

[0.5,73,0] 0.4  0.407306  -0.00730556  0.0923455
[0.5,73,1] 0  0.76714  -0.76714  0.0011838

[0.5,74,0] 0.4  0.407227  -0.00722732  0.0923069
[0.5,74,1] 0  0.76718  -0.76718  0.00118231

[0.5,75,0] 0.4  0.40715  -0.00714992  0.0922687
[0.5,75,1] 0  0.767219  -0.767219  0.00118082

[0.5,76,0] 0.4  0.407073  -0.00707332  0.0922308
[0.5,76,1] 0  0.767257  -0.767257  0.00117936

[0.5,77,0] 0.4  0.406998  -0.00699759  0.0921934
[0.5,77,1] 0  0.767296  -0.767296  0.00117791

[0.5,78,0] 0.4  0.406923  -0.00692269  0.0921563
[0.5,78,1] 0  0.767333  -0.767333  0.00117647

[0.5,79,0] 0.4  0.406849  -0.00684856  0.0921196
[0.5,79,1] 0  0.76737  -0.76737  0.00117505

[0.5,80,0] 0.4  0.406775  -0.00677526  0.0920832
[0.5,80,1] 0  0.767407  -0.767407  0.00117364

[0.5,81,0] 0.4  0.406703  -0.00670276  0.0920472
[0.5,81,1] 0  0.767443  -0.767443  0.00117225

[0.5,82,0] 0.4  0.406631  -0.00663103  0.0920116
[0.5,82,1] 0  0.767479  -0.767479  0.00117087

[0.5,83,0] 0.4  0.40656  -0.00656005  0.0919764
[0.5,83,1] 0  0.767514  -0.767514  0.0011695

[0.5,84,0] 0.4  0.40649  -0.00648982  0.0919414
[0.5,84,1] 0  0.767548  -0.767548  0.00116815

[0.5,85,0] 0.4  0.40642  -0.00642037  0.0919069
[0.5,85,1] 0  0.767583  -0.767583  0.00116681

[0.5,86,0] 0.4  0.406352  -0.00635159  0.0918726
[0.5,86,1] 0  0.767616  -0.767616  0.00116548

[0.5,87,0] 0.4  0.406284  -0.00628356  0.0918387
[0.5,87,1] 0  0.76765  -0.76765  0.00116417

[0.5,88,0] 0.4  0.406216  -0.0062162  0.0918051
[0.5,88,1] 0  0.767683  -0.767683  0.00116287

[0.5,89,0] 0.4  0.40615  -0.00614956  0.0917718
[0.5,89,1] 0  0.767715  -0.767715  0.00116159

[0.5,90,0] 0.4  0.406084  -0.0060836  0.0917389
[0.5,90,1] 0  0.767747  -0.767747  0.00116031

[0.5,91,0] 0.4  0.406018  -0.00601834  0.0917062
[0.5,91,1] 0  0.767779  -0.767779  0.00115905

[0.5,92,0] 0.4  0.405954  -0.00595373  0.0916739
[0.5,92,1] 0  0.76781  -0.76781  0.0011578

[0.5,93,0] 0.4  0.40589  -0.00588978  0.0916419
[0.5,93,1] 0  0.76784  -0.76784  0.00115657

[0.5,94,0] 0.4  0.405826  -0.00582648  0.0916102
[0.5,94,1] 0  0.767871  -0.767871  0.00115534

[0.5,95,0] 0.4  0.405764  -0.00576376  0.0915787
[0.5,95,1] 0  0.767901  -0.767901  0.00115413

[0.5,96,0] 0.4  0.405702  -0.00570171  0.0915476
[0.5,96,1] 0  0.76793  -0.76793  0.00115293

[0.5,97,0] 0.4  0.40564  -0.00564031  0.0915168
[0.5,97,1] 0  0.767959  -0.767959  0.00115174

[0.5,98,0] 0.4  0.407083  -0.00708264  0.0911325
[0.5,98,1] 0  0.767988  -0.767988  0.00115056

[0.5,99,0] 0.4  0.407005  -0.0070054  0.091095
[0.5,99,1] 0  0.768023  -0.768023  0.00114932

[0.5,100,0] 0.4  0.406929  -0.00692899  0.0910578
[0.5,100,1] 0  0.768057  -0.768057  0.0011481

