xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.125000000  0.030502386  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.054074286  0.127203123  0.004483585  0.004416006  0.000000820  0.000000000  0.005140604  0.000001365  0.000000000  0.003659731  0.000000000 
 0.375000000  0.082930850  0.255490695  0.011738827  0.011455303  0.000007594  0.000000000  0.014235518  0.000013703  0.000000000  0.009888707  0.000000000 
 0.500000000  0.114740573  0.384474642  0.022242032  0.021580883  0.000035407  0.000000000  0.028367109  0.000062687  0.000000000  0.019170375  0.000000000 
 0.545894574  0.125000000  0.431501951  0.026960506  0.026178219  0.000057810  0.009382427  0.034730637  0.000098735  0.000000000  0.023778863  0.643676097 
 0.625000000  0.149949373  0.514448558  0.036876130  0.036707219  0.000116808  0.009382427  0.047169561  0.000178122  0.000000000  0.035004831  0.000000000 
 0.750000000  0.185248619  0.644337113  0.055959621  0.058334467  0.000292402  0.009382427  0.072398485  0.000393260  0.000000000  0.055991016  0.000000000 
 0.875000000  0.220034113  0.774086990  0.078669767  0.084599219  0.000649089  0.009382427  0.105043527  0.000835850  0.000000000  0.081741088  0.000000000 
 0.984699964  0.250000000  0.887806103  0.101625254  0.111740036  0.001184564  0.012848173  0.139602076  0.001518275  0.000000000  0.108674377  0.110334170 
 1.000000000  0.255121604  0.903940597  0.105218283  0.115996236  0.001276165  0.012848173  0.143446688  0.001628670  0.000000000  0.114878725  0.000000000 
 1.125000000  0.292559689  1.034426651  0.137229493  0.153688435  0.002233443  0.012848173  0.178531009  0.002728606  0.000000000  0.152321430  0.000000000 
 1.250000000  0.331294880  1.165290760  0.173160053  0.196349591  0.003766266  0.012848173  0.232709163  0.004535585  0.000000000  0.195021416  0.000000000 
 1.375000000  0.372796641  1.297000274  0.213266656  0.244564823  0.006029207  0.012848173  0.295857076  0.007294988  0.000000000  0.243360423  0.000000000 
 1.381600444  0.375000000  1.303958769  0.215509155  0.247316322  0.006173250  0.055529118  0.299342333  0.007473696  0.000000000  0.246223744  0.928053471 
 1.500000000  0.420728384  1.430882132  0.259140901  0.300588186  0.009204539  0.055529118  0.363437600  0.011039216  0.000000000  0.325937933  0.000000000 
 1.625000000  0.476342232  1.567695509  0.310910388  0.362564362  0.013595737  0.055529118  0.441939837  0.016096669  0.000000000  0.389119760  0.000000000 
 1.672282442  0.500000000  1.620566288  0.332094501  0.388205422  0.015684733  0.092602875  0.474668862  0.018547066  0.000000000  0.416028924  0.612517708 
 1.750000000  0.544677448  1.710210547  0.369609417  0.433500962  0.019641218  0.092602875  0.530624059  0.022968354  0.000000000  0.475688146  0.000000000 
 1.865504177  0.625000000  1.850897886  0.431432123  0.506954405  0.027181966  0.098055820  0.625225664  0.031230747  0.000000000  0.552663782  0.073683483 
 1.875000000  0.632543158  1.863025123  0.436885996  0.513450118  0.027895107  0.098055820  0.633371280  0.031979420  0.000000000  0.560437887  0.000000000 
 1.937500000  0.687500000  1.946250747  0.474427931  0.558082659  0.032918737  0.138579862  0.688432547  0.037079861  0.000000000  0.609041379  0.000000000 

 0.048599392  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.074765067  0.250000000  0.127709211  0.003623118  0.003586956  0.000000375  0.004321770  0.002516141  0.000000153  0.000000000  0.003233014  0.000000000 
 0.100450150  0.375000000  0.255320823  0.008815616  0.008690548  0.000003161  0.008193048  0.006773974  0.000002075  0.000000000  0.007874601 -29.071513094 
 0.124679015  0.500000000  0.382647324  0.015540171  0.015303416  0.000012908  0.008273526  0.013702813  0.000013705  0.000000000  0.014018016 -14.560256309 
 0.125000000  0.501987565  0.384660641  0.015659456  0.015421574  0.000013166  0.008273526  0.013753138  0.000013979  0.000000000  0.014138059 -6.746619924 
 0.151726017  0.625000000  0.510542884  0.024391196  0.024547081  0.000033754  0.036019883  0.020262650  0.000093236  0.000000000  0.024171487 -5.458637539 
 0.176995245  0.750000000  0.638071445  0.035052248  0.036130974  0.000071372  0.061747209  0.035347603  0.000232204  0.000000000  0.035389557 -4.285209839 
 0.202334703  0.875000000  0.765613941  0.046929003  0.049163450  0.000137044  0.081240269  0.053128544  0.000442953  0.000000000  0.048018256 -3.763451358 
 0.229495152  1.000000000  0.893530671  0.060153329  0.063818551  0.000239092  0.090371527  0.073973481  0.000769764  0.000000000  0.062202170 -3.707591468 
 0.250000000  1.086262693  0.982196905  0.070173156  0.075004381  0.000337661  0.090371527  0.090508331  0.001072374  0.000000000  0.073210595 -3.750602321 
 0.260937215  1.125000000  1.022448633  0.075103164  0.080490851  0.000385708  0.137775799  0.099322799  0.001252525  0.000000000  0.081751358 -2.257743970 
 0.297062852  1.250000000  1.152564204  0.092363960  0.099524498  0.000570821  0.170897595  0.127192793  0.001938501  0.000000000  0.100552768 -2.666634260 
 0.338098945  1.375000000  1.284127728  0.111287203  0.120348709  0.000841844  0.186440066  0.157135657  0.002868684  0.000000000  0.121130896 -3.420410696 
 0.375000000  1.470731229  1.386724785  0.127293371  0.138037233  0.001119762  0.186440066  0.182734634  0.003838044  0.000000000  0.138763455 -4.324635009 
 0.388118455  1.500000000  1.418798993  0.132599529  0.143899655  0.001213601  0.228871098  0.191300768  0.004184736  0.000000000  0.146349963 -2.455754424 
 0.448845594  1.625000000  1.557769441  0.156985238  0.170486339  0.001688877  0.247616277  0.228663873  0.005908651  0.000000000  0.173262060 -3.694798851 
 0.500000000  1.712916898  1.659485488  0.176080314  0.191279362  0.002139493  0.247616277  0.259803457  0.007745647  0.000000000  0.194623117 -5.056520388 
 0.525583422  1.750000000  1.704537324  0.184945530  0.200944208  0.002361427  0.280193641  0.274420945  0.008701684  0.000000000  0.206268210 -3.033214920 
 0.624776249  1.875000000  1.864112438  0.217703779  0.236228663  0.003302316  0.280262846  0.328587380  0.012935627  0.000000000  0.243113106 -4.678941128 
 0.625000000  1.875252178  1.864449570  0.217775458  0.236308004  0.003304536  0.280262846  0.328862733  0.012947449  0.000000000  0.243201570 -5.113813415 
 0.687500000  1.937500000  1.952659781  0.236950548  0.257583391  0.003907595  0.298265670  0.405260273  0.016405131  0.000000000  0.268245410  0.000000000 

